%1.Title:Laptops
%
%2.Sources:
%	(a)Creator:KrstevFilip
%	(b)Date:June,2016
%	(c)878 instances
%
@RELATION IS


@ATTRIBUTE processor	{i34th,i33rd,i51st,i52nd,i53rd,i54th,i73rd,i74th,Pentium,Celeron,Atom,AMDSemprom,AMDESeries,Core2Duo,Core2Quad}
@ATTRIBUTE memory		numeric
@ATTRIBUTE screenSize	numeric
@ATTRIBUTE grapics		{Integrated/On-BoardGraphics,DedicatedGraphics}
@ATTRIBUTE operatinS	{Windows10,Windows8,Windows7,WindowsXP,ChromeOS}
@ATTRIBUTE ssd			{Yes,No}
@ATTRIBUTE price		numeric

@DATA
i33rd,4 ,15.6,Integrated/On-BoardGraphics,Windows8,No,600
i74th,8,15.6,Integrated/On-BoardGraphics,Windows10,No,1199.53
i74th,16 ,15.6,DedicatedGraphics,Windows8,No,1478.65
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,No,1190.66
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,No,1008.41
Celeron,4,14,Integrated/On-BoardGraphics,ChromeOS,No,249.98
i74th,8 ,13.3,Integrated/On-BoardGraphics,Windows8,No,1595.22
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,No,239.99
Celeron,4,11.6,Integrated/On-BoardGraphics,Windows7,No,305.98
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,No,1079.95
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows8,No,339.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,370
i54th,6,15.6,Integrated/On-BoardGraphics,Windows8,No,854.53
AMDSemprom,4 ,15.6,Integrated/On-BoardGraphics,Windows8,No,399.99
i54th,6,15.6,Integrated/On-BoardGraphics,Windows8,No,539.99
AMDESeries,12 ,13.3,Integrated/On-BoardGraphics,Windows8,Yes,1090.28
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,Yes,1249.95
Pentium,8,15.6,Integrated/On-BoardGraphics,Windows8,No,678.85
i54th,4,14,Integrated/On-BoardGraphics,Windows7,Yes,1584.53
i54th,4,11.6,Integrated/On-BoardGraphics,Windows8,No,699.99
i54th,12,15.6,Integrated/On-BoardGraphics,Windows8,No,929.95
i54th,4 ,14,Integrated/On-BoardGraphics,Windows7,No,815.97
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,449
i74th,16 ,15.6,DedicatedGraphics,Windows8,No,1478.65
AMDSemprom,4,15.6,Integrated/On-BoardGraphics,Windows8,No,339.99
i54th,8,15.6,Integrated/On-BoardGraphics,Windows8,No,749.99
i54th,8,15.6,Integrated/On-BoardGraphics,Windows8,No,699.13
i74th,8,15.6,Integrated/On-BoardGraphics,Windows7,Yes,999.53
i54th,4,15.6,Integrated/On-BoardGraphics,Windows8,No,954.46
AMDSemprom,4,15.6,Integrated/On-BoardGraphics,Windows7,No,379.95
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,289.94
AMDESeries,8,15.6,Integrated/On-BoardGraphics,Windows8,No,527.96
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows10,No,554.53
i54th,4,15.6,Integrated/On-BoardGraphics,Windows8,No,734.53
i54th,8,15.6,Integrated/On-BoardGraphics,Windows8,No,979.95
i54th,4,17.3,Integrated/On-BoardGraphics,Windows10,No,644.53
i54th,4 ,13.3,Integrated/On-BoardGraphics,Windows8,No,900.19
i54th,8,15.6,Integrated/On-BoardGraphics,Windows10,No,754.53
i33rd,4 ,14,Integrated/On-BoardGraphics,Windows7,No,458.89
i54th,8,14,Integrated/On-BoardGraphics,Windows7,Yes,1398.99
i33rd,6,17.3,Integrated/On-BoardGraphics,Windows7,No,544.66
i74th,12,15.6,Integrated/On-BoardGraphics,Windows8,No,953.2
i33rd,4 ,14,Integrated/On-BoardGraphics,Windows7,No,798.99
i54th,4,15.6,Integrated/On-BoardGraphics,Windows7,No,793.97
i54th,16,17.3,Integrated/On-BoardGraphics,Windows8,No,1148.54
i74th,16 ,14,Integrated/On-BoardGraphics,Windows7,Yes,1899
i74th,16,17.3,DedicatedGraphics,Windows8,No,1847.96
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,302.95
i33rd,6,15.6,Integrated/On-BoardGraphics,Windows8,No,409.95
Pentium,4,11.6,Integrated/On-BoardGraphics,Windows8,Yes,800.1
i74th,8,15.6,Integrated/On-BoardGraphics,Windows8,No,1300.73
i74th,24 ,17.3,Integrated/On-BoardGraphics,Windows8,No,1892.5
i54th,4 ,13.3,Integrated/On-BoardGraphics,Windows8,Yes,1170.36
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,No,1190.66
i54th,8,14,Integrated/On-BoardGraphics,Windows8,No,1226.65
i54th,4,15.6,Integrated/On-BoardGraphics,Windows7,No,793.99
i54th,8,14,Integrated/On-BoardGraphics,Windows7,No,1211.33
i33rd,12 ,17.3,Integrated/On-BoardGraphics,Windows8,No,836.95
i74th,16,15.6,DedicatedGraphics,Windows10,No,997
i74th,12,15.6,Integrated/On-BoardGraphics,Windows8,No,775.09
i74th,8 ,14,Integrated/On-BoardGraphics,Windows7,Yes,1599.81
i54th,8,15.6,Integrated/On-BoardGraphics,Windows8,No,774.53
Pentium,4 ,11.6,Integrated/On-BoardGraphics,Windows8,No,412.99
Celeron,2 ,11.6,Integrated/On-BoardGraphics,Windows8,No,305.49
i54th,8,15.6,Integrated/On-BoardGraphics,Windows8,No,1200.73
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,394.85
i74th,16,15.6,Integrated/On-BoardGraphics,Windows7,No,1372.76
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,298.95
Pentium,4,11.6,Integrated/On-BoardGraphics,Windows10,No,598.36
i74th,8,15.6,Integrated/On-BoardGraphics,Windows7,No,1320.19
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,No,1159.47
i54th,6,15.6,Integrated/On-BoardGraphics,Windows8,No,799.53
Pentium,4,11.6,Integrated/On-BoardGraphics,Windows10,No,300
i53rd,8 ,15.6,Integrated/On-BoardGraphics,Windows8,No,579.97
Celeron,2 ,10.1,Integrated/On-BoardGraphics,Windows8,No,531.16
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,No,903.11
i54th,8,15.6,Integrated/On-BoardGraphics,Windows8,No,844.53
i74th,8 ,18.4,DedicatedGraphics,Windows7,No,3354.53
i54th,8,15.6,Integrated/On-BoardGraphics,Windows8,Yes,954.53
i54th,8,14,Integrated/On-BoardGraphics,Windows7,Yes,1399
i74th,8 ,14,Integrated/On-BoardGraphics,Windows7,Yes,1299.57
i74th,8,15.6,DedicatedGraphics,Windows10,No,1145.95
i54th,12 ,13.3,DedicatedGraphics,Windows8,Yes,1195
i74th,12,15.6,Integrated/On-BoardGraphics,Windows8,No,1034.95
i54th,8,15.6,DedicatedGraphics,Windows7,Yes,1199
i74th,16,15.6,Integrated/On-BoardGraphics,Windows10,No,1348.71
i54th,8 ,15.6,Integrated/On-BoardGraphics,Windows8,No,948.55
i74th,8 ,15.6,Integrated/On-BoardGraphics,Windows8,Yes,1372.78
i54th,8,15.6,Integrated/On-BoardGraphics,Windows8,No,861.8
i54th,8 ,15.6,Integrated/On-BoardGraphics,Windows8,No,850.9
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,Yes,1978.2
i54th,10,15.6,Integrated/On-BoardGraphics,Windows8,No,827.65
i54th,8,15.6,Integrated/On-BoardGraphics,Windows10,No,1097.35
i74th,16,15.6,DedicatedGraphics,Windows7,Yes,1446.96
i73rd,8 ,11.6,Integrated/On-BoardGraphics,Windows7,No,2214
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,No,232.96
i74th,8,15.6,Integrated/On-BoardGraphics,Windows7,Yes,999.53
i54th,8,17.3,DedicatedGraphics,Windows7,No,637.85
i74th,12,15.6,Integrated/On-BoardGraphics,Windows8,No,1398.51
i54th,4,14,Integrated/On-BoardGraphics,Windows7,No,799.99
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows10,No,329.98
i54th,12,15.6,Integrated/On-BoardGraphics,Windows8,No,1340.95
i54th,4,15.6,Integrated/On-BoardGraphics,Windows8,No,734.53
i54th,12,17.3,Integrated/On-BoardGraphics,Windows8,No,898.85
i74th,16 ,15.6,Integrated/On-BoardGraphics,Windows8,Yes,1447.56
i54th,4,12.5,Integrated/On-BoardGraphics,Windows7,Yes,630
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,No,1039
i74th,8,13.3,Integrated/On-BoardGraphics,Windows8,Yes,1154.53
i54th,4,15.6,Integrated/On-BoardGraphics,Windows7,No,864.53
i54th,8,13.3,Integrated/On-BoardGraphics,Windows7,No,724.5
i53rd,4,14,Integrated/On-BoardGraphics,Windows7,No,525
i74th,8 ,14,Integrated/On-BoardGraphics,Windows8,No,1277.95
i74th,8 ,14,Integrated/On-BoardGraphics,Windows8,No,1277.95
i54th,8,17.3,DedicatedGraphics,Windows7,No,619
i74th,12,15.6,Integrated/On-BoardGraphics,Windows8,No,829.99
i54th,4 ,11.6,Integrated/On-BoardGraphics,Windows8,No,1354.45
i74th,16,17.3,DedicatedGraphics,Windows8,No,1761.71
i74th,8 ,14,Integrated/On-BoardGraphics,Windows8,Yes,799.99
i74th,12 ,15.6,DedicatedGraphics,Windows8,No,1381.91
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,289.99
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows7,No,514.53
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,534.53
i54th,8,17.3,DedicatedGraphics,Windows7,No,637.85
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,Yes,1749
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows10,No,599.53
i74th,8,15.6,DedicatedGraphics,Windows8,No,1139.95
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows8,No,363
