"_time","event.event_type","event.source","event.alarm_title","event.alert_description"
"2017-08-01T23:22:56.747-0700","alert.raw.wavefront","igtm2-ppd-svc-las_eth0.dcnet.intuit.net","PI:Network:f5:GTM-LTM server status"," Failing metric : network.f5.gtmserveravailstate
 Tags : server=_common_waqc-igtm2-ppd-svc,model=unknown,location=las,os=f5,zone=1
 query : (lag(5m,(ts(network.f5.gtmserveravailstate))))-(ts(network.f5.gtmserveravailstate)) < 0.0
 url : https://intuit.wavefront.com/u/C6hmkTH0LP"
"2017-07-30T01:52:32.276-0700","alert.raw.wavefront","qdc-e-lbsm02_mgmt.dcnet.intuit.net","PI:Network:f5 connections per second"," Failing metric : network.f5.connections
 Tags : location=qcy,model=big-ip_10250,os=f5,zone=e
 query : align(60s,max,ts(""network.f5.connections"")) > 400000
 url : https://intuit.wavefront.com/u/2Rsg2cjj90"
"2017-07-30T01:52:32.276-0700","alert.raw.wavefront","qdc-e-lbsm02_mgmt.dcnet.intuit.net","PI:Network:f5 connections per second"," Failing metric : network.f5.connections
 Tags : location=qcy,model=big-ip_10250,os=f5,zone=e
 query : align(60s,max,ts(""network.f5.connections"")) > 400000
 url : https://intuit.wavefront.com/u/2Rsg2cjj90"
"2017-07-28T12:15:53.709-0700","alert.raw.wavefront","waqc-igtm1_eth0.dcnet.intuit.net","PI:Network:f5:GTM-LTM server status"," Failing metric : network.f5.gtmserveravailstate
 Tags : server=_common_qcy-da-f01-avi-ppd.dcnet.intuit.net,location=qcy,model=big-ip_3900,os=f5,zone=a
 query : (lag(5m,(ts(network.f5.gtmserveravailstate))))-(ts(network.f5.gtmserveravailstate)) < 0.0
 url : https://intuit.wavefront.com/u/mkJykbRj3Y"
"2017-07-28T12:15:53.709-0700","alert.raw.wavefront","waqc-igtm1_eth0.dcnet.intuit.net","PI:Network:f5:GTM-LTM server status"," Failing metric : network.f5.gtmserveravailstate
 Tags : server=_common_qcy-da-f01-avi-ppd.dcnet.intuit.net,location=qcy,model=big-ip_3900,os=f5,zone=a
 query : (lag(5m,(ts(network.f5.gtmserveravailstate))))-(ts(network.f5.gtmserveravailstate)) < 0.0
 url : https://intuit.wavefront.com/u/mkJykbRj3Y"
"2017-07-28T12:15:53.709-0700","alert.raw.wavefront","igtm-qcy.dcnet.intuit.net","PI:Network:f5:GTM-LTM server status"," Failing metric : network.f5.gtmserveravailstate
 Tags : server=_common_qcy-da-f01-avi-ppd.dcnet.intuit.net,location=qcy,model=big-ip_3900,os=f5,zone=a
 query : (lag(5m,(ts(network.f5.gtmserveravailstate))))-(ts(network.f5.gtmserveravailstate)) < 0.0
 url : https://intuit.wavefront.com/u/mkJykbRj3Y"
"2017-07-28T12:15:53.709-0700","alert.raw.wavefront","igtm-qcy.dcnet.intuit.net","PI:Network:f5:GTM-LTM server status"," Failing metric : network.f5.gtmserveravailstate
 Tags : server=_common_qcy-da-f01-avi-ppd.dcnet.intuit.net,location=qcy,model=big-ip_3900,os=f5,zone=a
 query : (lag(5m,(ts(network.f5.gtmserveravailstate))))-(ts(network.f5.gtmserveravailstate)) < 0.0
 url : https://intuit.wavefront.com/u/mkJykbRj3Y"
"2017-07-28T12:15:53.709-0700","alert.raw.wavefront","igtm-svc-las_eth0.dcnet.intuit.net","PI:Network:f5:GTM-LTM server status"," Failing metric : network.f5.gtmserveravailstate
 Tags : server=_common_qcy-da-f01-avi-ppd.dcnet.intuit.net,model=big-ip_3900,location=las,os=f5,zone=1
 query : (lag(5m,(ts(network.f5.gtmserveravailstate))))-(ts(network.f5.gtmserveravailstate)) < 0.0
 url : https://intuit.wavefront.com/u/mkJykbRj3Y"
"2017-07-28T12:15:53.709-0700","alert.raw.wavefront","igtm-svc-las_eth0.dcnet.intuit.net","PI:Network:f5:GTM-LTM server status"," Failing metric : network.f5.gtmserveravailstate
 Tags : server=_common_qcy-da-f01-avi-ppd.dcnet.intuit.net,model=big-ip_3900,location=las,os=f5,zone=1
 query : (lag(5m,(ts(network.f5.gtmserveravailstate))))-(ts(network.f5.gtmserveravailstate)) < 0.0
 url : https://intuit.wavefront.com/u/mkJykbRj3Y"
"2017-07-31T07:19:46.475-0700","alert.raw.wavefront","lvdc-b-lbn02_mgmt.dcnet.intuit.net","PI:Network:f5 connections per second"," Failing metric : network.f5.connections
 Tags : model=big-ip_10250,location=las,os=f5,zone=b
 query : align(60s,max,ts(""network.f5.connections"")) > 400000
 url : https://intuit.wavefront.com/u/fNBpgHBRtG"
